"CBSA.Title","BurglaryRobberyTheftCounts"
"Atlanta-Sandy Springs-Roswell, GA","7946"
"Boston-Cambridge-Newton, MA-NH","5102"
"Chicago-Naperville-Elgin, IL-IN-WI","10622"
"Dallas-Fort Worth-Arlington, TX","35011"
"Detroit-Warren-Dearborn, MI","19312"
"Houston-The Woodlands-Sugar Land, TX","105785"
"Miami-Fort Lauderdale-West Palm Beach, FL","9228"
"New York-Newark-Jersey City, NY-NJ-PA","30834"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","54327"
"Phoenix-Mesa-Scottsdale, AZ","63646"
"Riverside-San Bernardino-Ontario, CA","8813"
"San Francisco-Oakland-Hayward, CA","15760"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","31778"
"Los Angeles-Long Beach-Anaheim, CA","95092"
